"activation","hdim","zdim","cdim","vdim","pc","scalar","type","seed","roc"
1,1,-1,1,1,1,-1,1,1,0.8205619412515966
1,1,1,1,1,1,-1,1,3,0.8058748403575989
1,1,1,1,-1,1,-1,1,4,0.8188590889740317
1,1,-1,1,1,1,-1,-1,2,0.8216262239250742
1,1,1,1,-1,1,-1,-1,4,0.8320561941251597
1,1,1,1,1,1,-1,-1,3,0.8094934014474245
1,1,-1,1,1,1,-1,1,2,0.8265219242230737
1,1,1,1,1,1,-1,-1,4,0.8448275862068967
1,1,1,1,1,1,-1,-1,2,0.816304810557684
1,1,-1,1,-1,1,-1,-1,4,0.8448275862068969
1,1,-1,1,1,1,-1,-1,3,0.7962962962962968
1,1,-1,1,1,1,-1,1,3,0.8028948488718609
1,1,-1,1,-1,1,-1,1,4,0.843124733929332
1,1,1,1,1,1,-1,1,2,0.8248190719455086
1,1,1,1,-1,1,-1,-1,3,0.8622818220519368
1,1,1,1,-1,1,-1,1,3,0.866113239676458
1,1,-1,1,-1,1,-1,-1,1,0.8899531715623666
1,1,-1,1,-1,1,-1,1,1,0.8910174542358451
1,1,-1,1,1,1,-1,-1,4,0.8148148148148154
1,1,-1,1,1,1,-1,1,4,0.8273733503618567
1,1,1,1,-1,1,-1,-1,1,0.9333759046402728
1,1,1,1,-1,1,-1,1,1,0.9346530438484465
1,1,1,1,1,1,-1,-1,1,0.9672200936568756
1,1,1,1,1,1,-1,1,1,0.9712643678160924
1,-1,1,1,-1,-1,1,-1,2,0.3426990208599405
1,-1,1,1,-1,-1,1,1,2,0.34376330353341855
1,-1,1,1,-1,-1,1,-1,1,0.37760749255002124
1,-1,1,1,-1,-1,-1,-1,2,0.3756917837377608
1,-1,1,1,-1,-1,1,1,1,0.3803746275010643
1,-1,1,1,-1,-1,-1,1,2,0.3805874840357599
1,-1,1,1,-1,-1,-1,-1,3,0.45253299276287784
1,-1,1,1,-1,-1,-1,1,3,0.4582801191996595
1,-1,-1,1,1,-1,1,1,2,0.5046828437633036
1,-1,-1,1,1,-1,1,-1,2,0.5089399744572161
1,-1,1,1,-1,-1,1,-1,4,0.5163899531715623
1,-1,1,1,-1,-1,1,1,4,0.5159642401021711
1,-1,1,1,1,-1,1,1,2,0.5208599404001705
1,-1,1,1,1,-1,1,-1,2,0.5240527884206048
1,-1,-1,1,-1,-1,1,1,2,0.5289484887186038
1,-1,-1,1,-1,-1,1,-1,2,0.5481055768412091
1,-1,1,1,1,-1,1,1,1,0.5540655598126865
1,-1,1,1,1,-1,1,-1,1,0.557045551298425
1,-1,-1,1,-1,-1,1,1,1,0.5651340996168585
1,-1,-1,1,1,-1,1,1,4,0.5659855257556408
1,-1,-1,1,1,-1,1,-1,4,0.5710940825883354
1,-1,-1,1,-1,-1,1,-1,1,0.5700297999148577
1,-1,-1,1,1,-1,1,1,1,0.5751383567475522
1,-1,-1,1,-1,-1,1,1,4,0.5757769263516391
1,-1,-1,1,-1,-1,1,-1,4,0.5789697743720733
1,-1,-1,1,1,-1,1,-1,1,0.5834397616006813
1,-1,1,1,1,-1,1,1,4,0.5851426138782462
1,-1,1,1,1,-1,1,1,3,0.5904640272456364
1,-1,-1,1,1,-1,1,1,3,0.5979140059599829
1,-1,1,1,1,-1,1,-1,4,0.5925925925925927
1,-1,-1,1,1,-1,1,-1,3,0.6049382716049383
1,-1,1,1,-1,-1,1,-1,3,0.6066411238825032
1,-1,-1,1,-1,-1,1,-1,3,0.6240953597275437
1,-1,-1,1,-1,-1,1,1,3,0.6140911025968498
1,-1,1,1,-1,-1,-1,1,1,0.6930608769689232
1,-1,1,1,-1,-1,1,1,3,0.6015325670498085
1,-1,1,1,1,-1,1,-1,3,0.5998297147722434
1,-1,1,1,-1,-1,-1,-1,1,0.7096636866751809
1,-1,1,1,1,-1,-1,1,2,0.7222222222222224
1,-1,-1,1,-1,-1,-1,1,2,0.7337164750957854
1,-1,1,1,1,-1,-1,-1,2,0.7418050234142188
1,-1,-1,1,-1,-1,-1,-1,2,0.7507449978714348
1,-1,-1,1,-1,-1,-1,1,1,0.7383993188590892
1,-1,-1,1,-1,-1,-1,-1,1,0.7594721157939551
1,-1,1,1,1,-1,-1,1,4,0.7907620263942102
1,-1,1,1,1,-1,-1,1,3,0.7518092805449129
1,-1,1,1,1,-1,-1,-1,4,0.8028948488718602
1,-1,1,1,-1,-1,-1,1,4,0.808854831843338
1,-1,1,1,-1,-1,-1,-1,4,0.8154533844189021
