"activation","hdim","zdim","cdim","vdim","pc","scalar","type","seed","rep","roc"
-1,0,0,0,0,-1,-1,1,3,3,0.7281822051936999
-1,0,0,0,0,-1,-1,1,1,2,0.755002128565347
-1,0,0,0,0,-1,-1,-1,4,1,0.7128565346956153
-1,0,0,0,0,-1,-1,-1,4,2,0.7190293742017881
-1,0,0,0,0,-1,-1,1,2,4,0.7718177948063003
-1,0,0,0,0,-1,-1,-1,1,3,0.749467858663261
-1,0,0,0,0,-1,-1,1,4,1,0.7226479352916135
-1,0,0,0,0,-1,-1,1,3,2,0.735845040442742
-1,0,0,0,0,-1,-1,1,4,2,0.7298850574712644
-1,0,0,0,0,-1,-1,1,1,3,0.7575564069816944
-1,0,0,0,0,-1,-1,-1,3,4,0.758620689655173
-1,0,0,0,0,-1,-1,-1,4,3,0.7394636015325672
-1,0,0,0,0,-1,-1,1,4,3,0.7443593018305665
-1,0,0,0,0,-1,-1,1,3,4,0.7688378033205625
-1,0,0,0,0,-1,-1,-1,4,4,0.7501064282673481
-1,0,0,0,0,-1,-1,1,4,4,0.7650063856960412
-1,0,0,0,0,-1,-1,1,2,3,0.7613878246062152
-1,0,0,0,0,1,1,1,2,2,0.5315027671349513
-1,0,0,0,0,1,1,-1,2,2,0.5440613026819924
-1,0,0,0,0,1,1,1,2,4,0.5589612601106855
-1,0,0,0,0,1,1,-1,2,3,0.5632183908045978
-1,0,0,0,0,1,1,-1,2,1,0.5683269476372926
-1,0,0,0,0,1,1,1,2,1,0.5578969774372076
-1,0,0,0,0,1,1,1,2,3,0.5566198382290337
-1,0,0,0,0,1,1,-1,2,4,0.58301404853129
-1,0,0,0,0,1,1,1,4,4,0.5859940400170287
-1,0,0,0,0,1,1,1,4,1,0.5938697318007664
-1,0,0,0,0,1,1,1,4,2,0.5936568752660708
-1,0,0,0,0,1,1,1,4,3,0.5987654320987655
-1,0,0,0,0,1,1,1,1,3,0.5994040017028522
-1,0,0,0,0,1,1,-1,4,4,0.6028097062579822
-1,0,0,0,0,1,1,-1,4,1,0.6123882503192848
-1,0,0,0,0,1,1,-1,4,2,0.6155810983397189
-1,0,0,0,0,1,1,1,1,2,0.6187739463601534
-1,0,0,0,0,1,1,-1,4,3,0.6179225202213708
-1,0,0,0,0,1,1,1,1,4,0.6230310770540657
-1,0,0,0,0,1,1,-1,1,3,0.6279267773520645
-1,0,0,0,0,1,1,1,3,4,0.6234567901234568
-1,0,0,0,0,1,1,1,1,1,0.6360153256704981
-1,0,0,0,0,1,1,1,3,2,0.6358024691358025
-1,0,0,0,0,1,1,-1,3,4,0.6377181779480631
-1,0,0,0,0,1,1,-1,1,2,0.6477224350787569
-1,0,0,0,0,1,1,-1,1,4,0.6541081311196256
-1,0,0,0,0,1,1,1,3,3,0.6564495530012772
-1,0,0,0,0,1,1,-1,3,2,0.66262239250745
-1,0,0,0,0,1,1,-1,1,1,0.6704980842911878
-1,0,0,0,0,1,1,1,3,1,0.6728395061728396
-1,0,0,0,0,1,1,-1,3,3,0.6839080459770115
-1,0,0,0,0,1,1,-1,3,1,0.6960408684546616
-1,0,0,0,0,1,-1,-1,2,2,0.7247765006385695
-1,0,0,0,0,1,-1,1,2,2,0.7324393358876115
-1,0,0,0,0,1,-1,-1,2,1,0.7305236270753511
-1,0,0,0,0,1,-1,-1,1,1,0.7252022137079608
-1,0,0,0,0,1,-1,-1,1,4,0.7300979140059599
-1,0,0,0,0,1,-1,1,2,1,0.7409535972754363
-1,0,0,0,0,1,-1,-1,3,1,0.7196679438058752
-1,0,0,0,0,1,-1,1,1,1,0.7320136228182205
-1,0,0,0,0,1,-1,1,1,4,0.7383993188590888
-1,0,0,0,0,1,-1,-1,2,3,0.7513835674755215
-1,0,0,0,0,1,-1,-1,3,3,0.7196679438058752
-1,0,0,0,0,1,-1,-1,1,2,0.7484035759897828
-1,0,0,0,0,1,-1,-1,2,4,0.7605363984674327
-1,0,0,0,0,1,-1,1,2,3,0.7584078331204767
-1,0,0,0,0,1,-1,1,3,3,0.7281822051936998
-1,0,0,0,0,1,-1,1,3,1,0.7313750532141339
-1,0,0,0,0,1,-1,1,1,2,0.7556406981694338
-1,0,0,0,0,1,-1,-1,4,1,0.7122179650915283
-1,0,0,0,0,1,-1,-1,4,2,0.7188165176670925
-1,0,0,0,0,1,-1,1,2,4,0.7709663686675179
-1,0,0,0,0,1,-1,-1,1,3,0.7490421455938698
-1,0,0,0,0,1,-1,1,3,2,0.7347807577692639
-1,0,0,0,0,1,-1,1,4,1,0.723499361430396
-1,0,0,0,0,1,-1,1,4,2,0.7296722009365687
-1,0,0,0,0,1,-1,1,1,3,0.7567049808429119
-1,0,0,0,0,1,-1,-1,3,4,0.7584078331204773
-1,0,0,0,0,1,-1,-1,4,3,0.7394636015325672
-1,0,0,0,0,1,-1,1,4,3,0.7449978714346535
-1,0,0,0,0,1,-1,1,3,4,0.7684120902511712
-1,0,0,0,0,1,-1,-1,4,4,0.7501064282673481
-1,0,0,0,0,1,-1,1,4,4,0.7660706683695192
-1,0,0,0,0,1,-1,-1,3,2,0.7222222222222227
